property_id,transaction_id,address,zipcode,good_sell,list,url,lat,long,date_listed,transaction_date
9029913,23905293,"19019 N 83rd Ln, Peoria, AZ 85382 ",85382,0.7216084003448486,249900,https://www.zillow.com/homedetails/19019-N-83rd-Ln-Peoria-AZ-85382/8101939_zpid/,33.6584,-112.23899999999999,6605,2018-01-31
9013905,22694429,"2418 E Dahlia Dr, Phoenix, AZ 85032 ",85032,0.7216064929962158,225000,https://www.zillow.com/homedetails/2418-E-Dahlia-Dr-Phoenix-AZ-85032/7820474_zpid/,33.6034,-112.03,6470,2017-09-18
9026714,23893368,"9931 W El Dorado Dr, Sun City, AZ 85351 ",85351,0.7212857306003571,140000,https://www.zillow.com/homedetails/9931-W-El-Dorado-Dr-Sun-City-AZ-85351/7694640_zpid/,33.5811,-112.274,6617,2018-02-12
227870,23879803,"1420 W Michelle Dr, Phoenix, AZ 85023 ",85023,0.7199445962905884,242000,https://www.zillow.com/homedetails/1420-W-Michelle-Dr-Phoenix-AZ-85023/7956946_zpid/,33.6498,-112.09100000000001,6618,2018-02-13
9026050,23861695,"19901 N 98th Ave, Peoria, AZ 85382 ",85382,0.719671219587326,239000,https://www.zillow.com/homedetails/19901-N-98th-Ave-Peoria-AZ-85382/7896097_zpid/,33.6647,-112.271,6571,2017-12-28
410071,23882238,"4632 W Sierra St, Glendale, AZ 85304 ",85304,0.7194929420948029,225000,https://www.zillow.com/homedetails/4632-W-Sierra-St-Glendale-AZ-85304/7726947_zpid/,33.5909,-112.15899999999999,6607,2018-02-02
9027668,23915751,"4828 W Kristal Way, Glendale, AZ 85308 ",85308,0.7188049554824829,239900,https://www.zillow.com/homedetails/4828-W-Kristal-Way-Glendale-AZ-85308/7939901_zpid/,33.6616,-112.165,6631,2018-02-26
252997,23872566,"3801 W Tierra Buena Ln, Phoenix, AZ 85053 ",85053,0.7178089022636414,249900,https://www.zillow.com/homedetails/3801-W-Tierra-Buena-Ln-Phoenix-AZ-85053/7945818_zpid/,33.6286,-112.14,6604,2018-01-30
329193,23871009,"2345 W Campus Dr, Phoenix, AZ 85015 ",85015,0.7177744507789612,213900,https://www.zillow.com/homedetails/2345-W-Campus-Dr-Phoenix-AZ-85015/7518989_zpid/,33.4842,-112.11,6600,2018-01-26
416064,23818791,"4416 W Turquoise Ave, Glendale, AZ 85302 ",85302,0.7176401913166046,249900,https://www.zillow.com/homedetails/4416-W-Turquoise-Ave-Glendale-AZ-85302/7729268_zpid/,33.5757,-112.154,6515,2017-11-02
1116516,23920475,"1806 N Arrowhead Dr, Chandler, AZ 85224 ",85224,0.7173603177070618,225000,https://www.zillow.com/homedetails/1806-N-Arrowhead-Dr-Chandler-AZ-85224/8193583_zpid/,33.3327,-111.866,6639,2018-03-06
9026632,23904517,"1107 W Jefferson St, Phoenix, AZ 85007 ",85007,0.7169596552848816,179000,https://www.zillow.com/homedetails/1107-W-Jefferson-St-Phoenix-AZ-85007/7522456_zpid/,33.4468,-112.087,6599,2018-01-25
337702,23890067,"2326 W Augusta Ave, Phoenix, AZ 85021 ",85021,0.7167867720127106,215000,https://www.zillow.com/homedetails/2326-W-Augusta-Ave-Phoenix-AZ-85021/7779291_zpid/,33.5518,-112.11,6599,2018-01-25
441326,23862512,"3042 N 87TH Ave, Phoenix, AZ 85037 ",85037,0.7160293459892273,199999,https://www.zillow.com/homedetails/3042-N-87th-Ave-Phoenix-AZ-85037/7479842_zpid/,33.483000000000004,-112.24700000000001,6578,2018-01-04
9029898,23905256,"8350 W Bluefield Ave, Peoria, AZ 85382 ",85382,0.7154829502105713,232000,https://www.zillow.com/homedetails/8350-W-Bluefield-Ave-Peoria-AZ-85382/8129246_zpid/,33.6507,-112.23899999999999,6610,2018-02-05
246567,22745687,"3407 W Port Au Prince Ln, Phoenix, AZ 85053 ",85053,0.7149744629859924,175000,https://www.zillow.com/homedetails/3407-W-Port-Au-Prince-Ln-Phoenix-AZ-85053/7943671_zpid/,33.6229,-112.132,6491,2017-10-09
