,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,price,date_closed,date_listed,neighborhood,error,predicted_price
531,935 Union Street,2,3,1600,climbsf_rented,http://www.climbsf.com/for-rent/935-union-st/,-122.415,5450,2014-07-14,,Russian Hill,1454.34050034,6904.34050034
478,"2157 20th Ave, San Francisco, CA 94116",2,1,1700,zillow_sf,http://www.zillow.com/homedetails/2157-20th-Ave-San-Francisco-CA-94116/15117925_zpid/,-122.477,3500,,2015-09-12,Parkside,1450.80359893,4950.80359893
450,1979 Clay Street,3,2,2000,climbsf_rented,http://www.climbsf.com/for-rent/1979-clay-st/,-122.425,5250,2013-02-26,,Pacific Heights,1415.12393263,6665.12393263
114,"587 London St, San Francisco, CA 94112",4,2,1530,zillow_sf,http://www.zillow.com/homedetails/587-London-St-San-Francisco-CA-94112/15174550_zpid/,-122.437,3950,,2015-09-10,Excelsior,1408.79123253,5358.79123253
215,"46 Potomac St, San Francisco, CA 94117",2,1,1350,zillow_sf,http://www.zillow.com/homedetails/46-Potomac-St-San-Francisco-CA-94117/2101230147_zpid/,-122.433,5000,,2015-09-02,Hayes Valley,1386.37733615,6386.37733615
196,55 Page Street #814,1,1,865,climbsf_rented,http://www.climbsf.com/for-rent/55-page-street-814/,-122.422,3200,2011-12-20,,Hayes Valley,1301.7299325,4501.7299325
835,"1011 23rd St APT 11, San Francisco, CA 94107",2,2,1884,zillow_sf,http://www.zillow.com/homedetails/1011-23rd-St-APT-11-San-Francisco-CA-94107/80742827_zpid/,-122.39,4890,,2015-08-10,Central Waterfront/Dogpatch,1276.2145752,6166.2145752
436,"2691 45th Ave, San Francisco, CA 94116",2,1,1400,zillow_sf,http://www.zillow.com/homedetails/2691-45th-Ave-San-Francisco-CA-94116/15124591_zpid/,-122.503,3750,,2015-09-06,Outer Parkside,1224.0214085,4974.0214085
438,"45th Ave San Francisco, CA 94116",3,1,1150,zillow_sf,http://www.zillow.com/homedetails/45th-Ave-San-Francisco-CA-94116/2105264419_zpid/,-122.504,3400,,2015-09-22,Outer Parkside,1184.36825485,4584.36825485
754,48 Rausch Street,3,2,1000,climbsf_rented,http://www.climbsf.com/for-rent/48-rausch-st/,-122.41,3500,2015-05-19,,South of Market,1168.94843566,4668.94843566
840,"1030 Le Conte Ave, San Francisco, CA 94124",4,3,2200,zillow_sf,http://www.zillow.com/homedetails/1030-Le-Conte-Ave-San-Francisco-CA-94124/15155078_zpid/,-122.397,3995,,2015-09-09,Bayview Heights,1133.00648821,5128.00648821
258,"1043 Valencia St APT 1, San Francisco, CA 94110",3,2,2300,zillow_sf,http://www.zillow.com/homedetails/1043-Valencia-St-APT-1-San-Francisco-CA-94110/2121384753_zpid/,-122.421,6995,,2015-08-16,Inner Mission,1116.75368092,8111.75368092
275,"620 11th Ave, San Francisco, CA 94118",3,1,2340,zillow_sf,http://www.zillow.com/homedetails/620-11th-Ave-San-Francisco-CA-94118/15098209_zpid/,-122.469,4950,,2015-09-03,Inner Richmond,1093.92236025,6043.92236025
